# 全唐诗 + 宋词 的作者名录，来自 chinese-poetry（公有领域原文）。
# works = 上游收录篇数；on_site = 本站已有篇数。用来挑该补谁。
collection	author	works	on_site
唐诗	孔德绍	13	0
唐诗	左偃	13	0
唐诗	牛希济	13	0
唐诗	湘妃庙	13	0
唐诗	张谔	13	0
唐诗	胡皓	13	0
唐诗	马云奇	13	0
唐诗	赞宁	13	0
唐诗	钱弘俶	13	0
唐诗	王叡	12	3
唐诗	贺兰进明	12	5
唐诗	窦叔向	12	0
唐诗	冷朝阳	12	0
唐诗	薛存诚	12	0
唐诗	费冠卿	12	0
唐诗	韦元旦	12	0
唐诗	裴休	12	0
唐诗	韦蟾	12	0
唐诗	吴仁璧	12	0
唐诗	马怀素	12	0
唐诗	熊皎	12	0
唐诗	缪岛云	12	0
唐诗	护国	12	0
唐诗	栖蟾	12	0
唐诗	嵩岳诸仙	12	0
唐诗	李邕	12	0
唐诗	徐安贞	12	0
唐诗	罗公远	12	0
唐诗	缘密	12	0
唐诗	魏征、褚亮	11	11
唐诗	徐坚	11	2
唐诗	李逢吉	11	1
唐诗	王无竞	11	2
唐诗	郑锡	11	1
唐诗	姚系	11	0
唐诗	陈润	11	0
唐诗	陈叔达	11	0
唐诗	李敬方	11	0
唐诗	顾云	11	0
唐诗	水神	11	0
唐诗	王湾	11	1
唐诗	常察	11	0
唐诗	柳冲用	11	0
唐诗	于邵	10	5
唐诗	姚崇	10	1
唐诗	孟简	10	1
唐诗	郎大家宋氏	10	5
唐诗	郭元振	10	9
唐诗	袁晖	10	2
唐诗	李暇	10	5
唐诗	李义府	10	0
唐诗	盖嘉运	10	0
唐诗	张登	10	0
唐诗	李赤	10	0
唐诗	欧阳衮	10	0
唐诗	武三思	10	0
唐诗	刘象	10	0
唐诗	卢士衡	10	0
唐诗	蒋贻恭	10	0
唐诗	徐仲雅	10	0
唐诗	翁宏	10	0
唐诗	可止	10	0
唐诗	可朋	10	0
唐诗	处默	10	0
唐诗	阎选	10	0
唐诗	元希声	10	0
唐诗	张旭	10	1
唐诗	卢鸿一	10	0
唐诗	张文成	10	0
唐诗	樊铸	10	0
唐诗	太宗皇帝李世民	10	0
唐诗	窦真君	10	0
唐诗	赵志	10	0
唐诗	高宗皇帝	9	9
唐诗	牛僧孺	9	1
唐诗	韦承庆	9	1
唐诗	张文琮	9	2
唐诗	薛奇童	9	2
唐诗	李嶷	9	3
唐诗	王缙	9	0
唐诗	万楚	9	0
唐诗	李正封	9	0
唐诗	长孙无忌	9	0
唐诗	宗楚客	9	0
唐诗	白行简	9	0
唐诗	杨汝士	9	0
唐诗	霍总	9	0
唐诗	李昭象	9	0
唐诗	冯道	9	0
唐诗	宋齐丘	9	0
唐诗	潘佑	9	0
唐诗	廖凝	9	0
唐诗	冯涓	9	0
唐诗	廖融	9	0
唐诗	吴商浩	9	0
唐诗	顾甄远	9	0
唐诗	耿玉真	9	0
唐诗	萧至忠	9	0
唐诗	包融	9	0
唐诗	李昂	9	0
唐诗	龚霖	9	0
唐诗	道怤	9	0
唐诗	神晏	9	0
唐诗	蜀太后徐氏	8	8
唐诗	蜀太妃徐氏	8	8
唐诗	贺知章、源乾曜	8	8
唐诗	郑𬘡	8	1
唐诗	张昭	8	6
唐诗	东方虬	8	3
唐诗	王适	8	1
唐诗	吴少微	8	2
唐诗	蒋冽	8	0
唐诗	鲍防	8	0
唐诗	崔备	8	0
唐诗	李翱	8	0
唐诗	谢偃	8	0
唐诗	潘咸	8	0
唐诗	李玖	8	0
唐诗	卢汝弼	8	0
唐诗	王驾	8	0
唐诗	孙郃	8	0
唐诗	薛曜	8	0
唐诗	韦嗣立	8	0
唐诗	卢藏用	8	0
唐诗	赵光逢	8	0
唐诗	李涛	8	0
唐诗	韩溉	8	0
唐诗	赵氏	8	0
唐诗	梁琼	8	0
唐诗	义净	8	0
唐诗	常达	8	0
唐诗	孙思邈	8	0
唐诗	王氏妇	8	0
唐诗	李泌	8	0
唐诗	贺朝	8	0
唐诗	青霞子	8	0
唐诗	崔觐	8	0
唐诗	还阳子	8	0
唐诗	师备	8	0
唐诗	宋光嗣	8	0
唐诗	项宗	8	0
唐诗	中宗皇帝	7	7
唐诗	文宗皇帝	7	7
唐诗	宣宗皇帝	7	7
唐诗	张循之	7	1
唐诗	王之涣	7	2
唐诗	厉玄	7	1
唐诗	王𬤇	7	1
唐诗	张柬之	7	2
唐诗	李康成	7	1
唐诗	张潮	7	0
唐诗	严武	7	0
唐诗	朱长文	7	0
唐诗	于良史	7	0
唐诗	章八元	7	0
唐诗	陈翊	7	0
唐诗	崔元翰	7	0
唐诗	张聿	7	0
唐诗	曲信陵	7	0
唐诗	范传正	7	0
唐诗	刘孝孙	7	0
唐诗	孔绍安	7	0
唐诗	王起	7	0
唐诗	沈传师	7	0
唐诗	舒元舆	7	0
唐诗	周匡物	7	0
唐诗	于季子	7	0
唐诗	张均	7	0
唐诗	杨凝式	7	0
唐诗	郑良士	7	0
唐诗	孙棨	7	0
唐诗	陈光	7	0
唐诗	黄损	7	0
唐诗	韩熙载	7	0
唐诗	詹琲	7	0
唐诗	幸夤逊	7	0
唐诗	杨徽之	7	0
唐诗	王元	7	0
唐诗	丘光庭	7	0
唐诗	姚揆	7	0
唐诗	李尧夫	7	0
唐诗	张窈窕	7	0
唐诗	史凤	7	0
唐诗	归仁	7	0
唐诗	隐峦	7	0
唐诗	伊用昌	7	0
唐诗	临淄县主	7	0
唐诗	席豫	7	0
唐诗	蔡希寂	7	0
唐诗	钱惟治	7	0
唐诗	陶谷	7	0
唐诗	陈裕	7	0
唐诗	何仙姑	7	0
唐诗	灵辩	7	0
唐诗	本净	7	0
唐诗	省澄	7	0
唐诗	徐贤妃	6	6
唐诗	后主衍	6	6
唐诗	贾曾	6	1
唐诗	崔居俭、卢文纪	6	6
唐诗	郑世翼	6	1
唐诗	刘皂	6	1
唐诗	张彪	6	0
唐诗	阎防	6	0
唐诗	陈存	6	0
唐诗	李幼卿	6	0
唐诗	林藻	6	0
唐诗	杨于陵	6	0
唐诗	许稷	6	0
唐诗	郑澣	6	0
唐诗	张汇	6	0
唐诗	崔护	6	0
唐诗	庾抱	6	0
唐诗	任希古	6	0
唐诗	王鲁复	6	0
唐诗	柳公权	6	0
唐诗	宋璟	6	0
唐诗	林滋	6	0
唐诗	李宣古	6	0
唐诗	郑损	6	0
唐诗	孙偓	6	0
唐诗	李沇	6	0
唐诗	郑准	6	0
唐诗	岑羲	6	0
唐诗	张为	6	0
唐诗	王嵒	6	0
唐诗	刘斌	6	0
唐诗	张衮	6	0
唐诗	廖匡图	6	0
唐诗	汤悦	6	0
唐诗	马逢	6	0
唐诗	卞震	6	0
唐诗	张夫人	6	0
唐诗	姚月华	6	0
唐诗	张琰	6	0
唐诗	刘媛	6	0
唐诗	刘采春	6	0
唐诗	慧净	6	0
唐诗	慕幽	6	0
唐诗	吴越僧	6	0
唐诗	春台仙	6	0
唐诗	蜀宫群仙	6	0
唐诗	明月潭龙女	6	0
唐诗	西施	6	0
唐诗	张生妻	6	0
唐诗	李贞白	6	0
唐诗	鹿虔扆	6	0
唐诗	殷遥	6	0
唐诗	王琚	6	0
唐诗	许景先	6	0
唐诗	崔十娘	6	0
唐诗	范质	6	0
唐诗	李郃	6	0
唐诗	王鼎	6	0
唐诗	慧寂	6	0
唐诗	元安	6	0
唐诗	延沼	6	0
唐诗	刘湾	6	0
唐诗	沈颂	6	0
唐诗	昭宗皇帝	5	1
唐诗	韩休	5	1
唐诗	蔡孚	5	1
唐诗	段文昌	5	1
唐诗	员半千	5	1
唐诗	张易之	5	1
唐诗	耿[𣲗]	5	4
唐诗	袁朗	5	1
唐诗	田娥	5	0
唐诗	陆长源	5	0
唐诗	徐九臯	5	0
唐诗	阎宽	5	0
唐诗	楼颕	5	0
唐诗	徐浩	5	0
唐诗	宋华	5	0
唐诗	蒋涣	5	0
唐诗	沈千运	5	0
唐诗	张佐	5	0
唐诗	周渭	5	0
唐诗	陆贽	5	0
唐诗	王烈	5	0
唐诗	吕渭	5	0
唐诗	陆羽	5	0
唐诗	徐敞	5	0
唐诗	张文规	5	0
唐诗	李程	5	0
唐诗	岑文本	5	0
唐诗	褚遂良	5	0
唐诗	刘祎之	5	0
唐诗	杨嗣复	5	0
唐诗	裴次元	5	0
唐诗	崔玄亮	5	0
唐诗	李渤	5	0
唐诗	张萧远	5	0
唐诗	袁不约	5	0
唐诗	杨乘	5	0
唐诗	赵璜	5	0
唐诗	祝元膺	5	0
唐诗	王铎	5	0
